==15905== NVPROF is profiling process 15905, command: ./lapGPU5 10000
==15905== Profiling application: ./lapGPU5 10000
==15905== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 46.58%  12.2253s      5000  2.4451ms  2.4175ms  2.8103ms  main_84_gpu
 46.48%  12.1999s      5000  2.4400ms  2.4126ms  2.8622ms  main_90_gpu
  3.37%  884.41ms      5000  176.88us  175.20us  185.82us  main_92_gpu_red
  3.37%  884.23ms      5000  176.85us  175.10us  186.21us  main_86_gpu_red
  0.13%  34.184ms     10008  3.4150us     959ns  3.2756ms  [CUDA memcpy HtoD]
  0.07%  19.122ms     10000  1.9120us  1.8870us  3.9040us  [CUDA memcpy DtoH]

==15905== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 98.50%  26.2969s     10000  2.6297ms  2.2852ms  3.0608ms  cuMemcpyDtoHAsync
  0.60%  160.83ms     20000  8.0410us  6.3370us  342.57us  cuLaunchKernel
  0.30%  80.749ms         2  40.375ms     425ns  80.749ms  cuDevicePrimaryCtxRetain
  0.20%  53.181ms     10008  5.3130us  4.6240us  116.24us  cuMemcpyHtoDAsync
  0.17%  44.409ms         1  44.409ms  44.409ms  44.409ms  cuDevicePrimaryCtxRelease
  0.11%  28.231ms         1  28.231ms  28.231ms  28.231ms  cuMemHostAlloc
  0.07%  17.402ms     20001     870ns     372ns  3.0874ms  cuStreamSynchronize
  0.04%  11.169ms         1  11.169ms  11.169ms  11.169ms  cuMemFreeHost
  0.01%  3.6875ms         5  737.50us  180.62us  2.8393ms  cuMemAlloc
  0.00%  689.79us         6  114.97us  1.5700us  340.75us  cuEventSynchronize
  0.00%  667.54us         1  667.54us  667.54us  667.54us  cuMemAllocHost
  0.00%  363.51us         1  363.51us  363.51us  363.51us  cuModuleLoadData
  0.00%  32.239us         1  32.239us  32.239us  32.239us  cuStreamCreate
  0.00%  23.594us         7  3.3700us  2.5570us  5.4870us  cuEventRecord
  0.00%  9.9320us         3  3.3100us     320ns  8.8820us  cuCtxSetCurrent
  0.00%  4.6650us         1  4.6650us  4.6650us  4.6650us  cuEventCreate
  0.00%  3.2830us         2  1.6410us     640ns  2.6430us  cuDeviceGetCount
  0.00%  2.9710us         1  2.9710us  2.9710us  2.9710us  cuMemFree
  0.00%  2.9620us         4     740ns     237ns  1.8560us  cuModuleGetFunction
  0.00%     976ns         2     488ns     419ns     557ns  cuDeviceGet
  0.00%     697ns         1     697ns     697ns     697ns  cuDeviceComputeCapability
  0.00%     360ns         1     360ns     360ns     360ns  cuCtxGetCurrent
